event_id,model_key,model_label,model_id,stage,panel,component,window_type,cc,shift_samples,shift_s,sign,npts
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09,PR,R,pick-based,0.7279007464783521,-59,-2.95,-,200
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09,ST,T,pick-based,0.6130692454128914,34,1.7000000000000002,-,300
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09_pol,PZ,Z,pick-based,0.7028655731585778,0,0.0,-,200
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09_pol,SZ,Z,pick-based,0.15081899746030772,-3,-0.15000000000000002,-,300
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09_pol,PR,R,pick-based,0.766100516034942,-98,-4.9,+,200
S0234c,TAYAK,TAYAK,TAYAK,bp_03_09_pol,ST,T,pick-based,0.5163291965381289,-8,-0.4,+,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,PZ,Z,pick-based,0.5235530711087621,-5,-0.25,+,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,SZ,Z,pick-based,0.7638348918634533,16,0.8,+,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,PR,R,pick-based,0.25556814389609,-96,-4.800000000000001,-,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,raw,ST,T,pick-based,0.22564446092316365,100,5.0,-,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,PZ,Z,pick-based,0.3753648383279454,51,2.5500000000000003,-,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,SZ,Z,pick-based,0.48943980609274135,17,0.8500000000000001,+,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,PR,R,pick-based,0.19577779354381133,100,5.0,-,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_05,ST,T,pick-based,0.12692821888187744,-48,-2.4000000000000004,+,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,PZ,Z,pick-based,0.48437847642639315,-6,-0.30000000000000004,+,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,SZ,Z,pick-based,0.7539708831907068,15,0.75,+,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,PR,R,pick-based,0.31143903672433115,81,4.05,+,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_01_08,ST,T,pick-based,0.3085048840326838,100,5.0,-,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,PZ,Z,pick-based,0.8197009031970593,8,0.4,-,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,SZ,Z,pick-based,0.7389658044991801,30,1.5,-,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,PR,R,pick-based,0.5726879078519005,29,1.4500000000000002,-,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09,ST,T,pick-based,0.5327351169402261,100,5.0,-,300
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,PZ,Z,pick-based,0.888760618955977,8,0.4,-,200
S0234c,Best17,17-event best (Geophysical_model298),Geophysical_model298,bp_03_09_pol,SZ,Z,pick-based,0.8947497965465651,16,0.8,+,300
