2025-08-26 14:58:13,894 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-08-26 14:58:13,896 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-02 19:00:13,195 - pyswarms.single.global_best - INFO - Optimize for 1 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-02 19:42:45,880 - pyswarms.single.global_best - INFO - Optimize for 1 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-02 20:19:18,260 - pyswarms.single.global_best - INFO - Optimization finished | best cost: 0.09621954366029231, best pos: [  23.00042252  125.90570804   40.68965869 -102.13925002]
2025-09-03 16:13:00,242 - pyswarms.single.global_best - INFO - Optimization finished | best cost: 0.15606241751855757, best pos: [ 52.06051355 252.67476242  73.82954329 161.45555333]
2025-09-03 17:02:10,979 - pyswarms.single.global_best - INFO - Optimize for 1 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-03 17:19:37,607 - pyswarms.single.global_best - INFO - Optimize for 1 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-03 17:37:45,788 - pyswarms.single.global_best - INFO - Optimization finished | best cost: 0.06894354743586431, best pos: [  17.17205637  195.43758718   69.98532808 -122.16324906]
2025-09-03 17:46:27,002 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-03 17:46:39,613 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-05 13:54:32,766 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-05 13:54:38,389 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-08 03:50:32,593 - root - WARNING - Too few points to create valid contours
2025-09-08 04:21:10,879 - pyswarms.single.global_best - INFO - Optimization finished | best cost: 0.13589281825694216, best pos: [  59.38207033   74.93375741   52.08722069 -111.07379678]
2025-09-08 17:50:52,299 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-08 17:51:12,775 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-08 17:51:17,985 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-10 16:00:56,683 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-10 16:03:36,411 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-10 17:12:55,615 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:48:36,308 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:48:36,439 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:48:36,510 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:48:36,550 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:48:36,622 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:48:36,972 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:49:49,584 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:49:51,223 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:49:57,805 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
2025-09-13 10:50:02,500 - pyswarms.single.global_best - INFO - Optimize for 30 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.5}
