model_id,source_path,source_format,composition,tpot_K,adiabat_K_km,d_main_km,w_main_km,d_800_km,w_800_km,d_1000_km,w_1000_km,d_1200_km,w_1200_km,d_1600_km,w_1600_km,mean_p_misfit,mean_s_misfit,total_misfit,mean_p_cc,mean_s_cc,used_events
Geophysical_model410,/home/lyara/areswave/models_short/Geophysical_model410.nd,nd,UNK,,,1099.994,60.0,900.0,181.19100000000003,1099.994,60.0,1116.66,16.66599999999994,1681.374,60.0,0.45951586220031215,0.6349017756186892,0.5764398044792302,0.5404841377996878,0.3650982243813107,5
Geophysical_model500,/home/lyara/areswave/models_short/Geophysical_model500.nd,nd,UNK,,,950.39,60.0,900.0,189.02200000000005,950.39,60.0,1135.153,33.59400000000005,1686.099,60.0,0.5208022927976771,0.608917329868785,0.5795456508450824,0.479197707202323,0.391082670131215,5
MD_model90,/home/lyara/areswave/models_short/MD_model90.nd,nd,UNK,,,1068.089,60.0,754.092,184.067,1068.089,60.0,1252.156,184.067,1624.97,60.0,0.5160390461554704,0.61275205298291,0.5805143840404301,0.48396095384452964,0.38724794701709,5
Geophysical_model190,/home/lyara/areswave/models_short/Geophysical_model190.nd,nd,UNK,,,966.508,60.0,900.0,193.79899999999998,966.508,60.0,1116.152,16.626999999999953,1679.958,60.0,0.5456203810303217,0.5996932589244036,0.581668966293043,0.4543796189696782,0.4003067410755964,5
Geophysical_model960,/home/lyara/areswave/models_short/Geophysical_model960.nd,nd,UNK,,,916.969,60.0,856.194,197.12699999999995,916.969,60.0,1120.603,33.93900000000008,1692.359,60.0,0.6216528436497722,0.5618923136605164,0.5818124903236016,0.37834715635022775,0.4381076863394836,5
Geophysical_model370,/home/lyara/areswave/models_short/Geophysical_model370.nd,nd,UNK,,,966.673,60.0,900.0,188.82299999999998,966.673,60.0,1116.688,33.33600000000001,1681.453,60.0,0.4694776803384899,0.6387589283298584,0.5823318456660689,0.5305223196615101,0.3612410716701415,5
MD_model30,/home/lyara/areswave/models_short/MD_model30.nd,nd,UNK,,,1031.761,60.0,887.465,10.307000000000016,1031.761,60.0,1279.127,154.60400000000004,1586.589,60.0,0.6514518040247,0.5487163204308978,0.5829614816288319,0.34854819597529996,0.45128367956910226,5
Geophysical_model540,/home/lyara/areswave/models_short/Geophysical_model540.nd,nd,UNK,,,916.576,60.0,879.318,186.135,916.576,60.0,1115.488,16.576000000000022,1678.109,60.0,0.524000191343993,0.6125274348652312,0.5830183536914851,0.475999808656007,0.38747256513476885,5
Geophysical_model490,/home/lyara/areswave/models_short/Geophysical_model490.nd,nd,UNK,,,1096.615,60.0,900.0,187.39999999999998,1096.615,60.0,1145.769,32.769000000000005,1671.177,60.0,0.500971849317666,0.6245967561172623,0.5833884538507302,0.499028150682334,0.3754032438827376,5
Geophysical_model820,/home/lyara/areswave/models_short/Geophysical_model820.nd,nd,UNK,,,950.007,60.0,900.0,178.976,950.007,60.0,1133.367,33.337999999999965,1681.481,60.0,0.6355047468933481,0.5592320283218744,0.5846562678456989,0.36449525310665193,0.44076797167812554,5
Geophysical_model40,/home/lyara/areswave/models_short/Geophysical_model40.nd,nd,UNK,,,1063.521,60.0,900.0,197.404,1063.521,60.0,1145.281,32.70399999999995,1669.999,60.0,0.5429065146398495,0.6073610494533053,0.5858762045154867,0.45709348536015054,0.3926389505466947,5
EH45Tcold,/home/lyara/areswave/models_short/EH45Tcold.nd,nd,EH45,,,1002.045,60.0,806.607,16.286000000000058,1002.045,60.0,1262.629,179.15100000000007,1560.287,20.787000000000035,0.49783698257239645,0.6302502411115507,0.5861124882651659,0.5021630174276035,0.36974975888844924,5
Geophysical_model880,/home/lyara/areswave/models_short/Geophysical_model880.nd,nd,UNK,,,916.693,60.0,877.556,179.548,916.693,60.0,1117.015,33.386000000000195,1682.363,60.0,0.6257317051376953,0.566551649064688,0.5862783344223571,0.37426829486230473,0.43344835093531203,5
